A,B,C,D,E,F,G,H,I
,,median,28.95,AlgA-mean,28.883334,,iterations:,5
,,s(MAD),0.667349999999999,AlgA-std,0.769054739760639,,,
,,number,20,,,,,
,data,abs. dev.,number,,,z_input,Zscore,
1,27.5,1.45,27.7314713510715,,,27.5,-1.79874582195612,
2,27.8,1.15,27.8,,,27.8,-1.40865655458697,
3,28,0.949999999999999,28,,,28.0,-1.14859704300754,
4,28.1,0.849999999999998,28.1,,,28.1,-1.01856728721782,
5,28.3,0.649999999999999,28.3,,,28.3,-0.758507775638387,
6,28.5,0.449999999999999,28.5,,,28.5,-0.498448264058954,
7,28.6,0.349999999999998,28.6,,,28.6,-0.368418508269236,
8,28.7,0.25,28.7,,,28.7,-0.238388752479522,
9,28.8,0.149999999999999,28.8,,,28.8,-0.108358996689803,
10,28.9,0.0500000000000007,28.9,,,28.9,0.0216707590999105,
11,29,0.0500000000000007,29,,,29.0,0.151700514889629,
12,29,0.0500000000000007,29,,,29.0,0.151700514889629,
13,29.1,0.150000000000002,29.1,,,29.1,0.281730270679348,
14,29.2,0.25,29.2,,,29.2,0.411760026469062,
15,29.3,0.350000000000001,29.3,,,29.3,0.54178978225878,
16,29.4,0.449999999999999,29.4,,,29.4,0.671819538048494,
17,29.5,0.550000000000001,29.5,,,29.5,0.801849293838213,
18,29.7,0.75,29.7,,,29.7,1.06190880541765,
19,30,1.05,30,,,30.0,1.4519980727868,
20,30.2,1.25,30.0352086489285,,,30.2,1.71205758436623,
